Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Uganda, Total population",Uganda,Eastern Africa,800,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"44,269.59"
"Uganda, Total renewable water resources",Uganda,Eastern Africa,800,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,60.1
"Uganda, Total water withdrawal",Uganda,Eastern Africa,800,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.64
"Ukraine, GDP per capita",Ukraine,Eastern Europe,804,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"2,972.84"
"Ukraine, Total dam capacity",Ukraine,Eastern Europe,804,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,55.4
"Ukraine, Total population",Ukraine,Eastern Europe,804,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"43,993.64"
"Ukraine, Total renewable water resources",Ukraine,Eastern Europe,804,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,175.28
"Ukraine, Total water withdrawal",Ukraine,Eastern Europe,804,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,11.07
"United Arab Emirates, GDP per capita",United Arab Emirates,Western Asia,784,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"43,407.64"
"United Arab Emirates, Total dam capacity",United Arab Emirates,Western Asia,784,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.06
"United Arab Emirates, Total population",United Arab Emirates,Western Asia,784,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"9,770.53"
"United Arab Emirates, Total renewable water resources",United Arab Emirates,Western Asia,784,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.15
"United Arab Emirates, Total water withdrawal",United Arab Emirates,Western Asia,784,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,5.07
"United Kingdom, GDP per capita",United Kingdom,Northern Europe,826,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"42,889.39"
"United Kingdom, Total dam capacity",United Kingdom,Northern Europe,826,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.27
"United Kingdom, Total population",United Kingdom,Northern Europe,826,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"67,530.17"
"United Kingdom, Total renewable water resources",United Kingdom,Northern Europe,826,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,147
"United Kingdom, Total water withdrawal",United Kingdom,Northern Europe,826,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,8.42
"United Republic of Tanzania, GDP per capita",United Republic of Tanzania,Eastern Africa,834,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,994.45
"United Republic of Tanzania, Total dam capacity",United Republic of Tanzania,Eastern Africa,834,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,104.2
"United Republic of Tanzania, Total population",United Republic of Tanzania,Eastern Africa,834,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"58,005.46"
"United Republic of Tanzania, Total renewable water resources",United Republic of Tanzania,Eastern Africa,834,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,96.27
"United Republic of Tanzania, Total water withdrawal",United Republic of Tanzania,Eastern Africa,834,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,5.18
"United States of America, GDP per capita",United States of America,Northern America,840,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"62,981.39"
"United States of America, Total dam capacity",United States of America,Northern America,840,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,735.87
"United States of America, Total population",United States of America,Northern America,840,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"329,064.92"
"United States of America, Total renewable water resources",United States of America,Northern America,840,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"3,069.00"
"United States of America, Total water withdrawal",United States of America,Northern America,840,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,444.29
"Uruguay, GDP per capita",Uruguay,South America,858,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"17,177.14"
"Uruguay, Total dam capacity",Uruguay,South America,858,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,17.15
"Uruguay, Total population",Uruguay,South America,858,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"3,461.73"
"Uruguay, Total renewable water resources",Uruguay,South America,858,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,172.2
"Uruguay, Total water withdrawal",Uruguay,South America,858,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.66
"Uzbekistan, GDP per capita",Uzbekistan,Central Asia,860,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"1,560.33"
"Uzbekistan, Total dam capacity",Uzbekistan,Central Asia,860,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,22.01
"Uzbekistan, Total population",Uzbekistan,Central Asia,860,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"32,981.72"
"Uzbekistan, Total renewable water resources",Uzbekistan,Central Asia,860,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,48.87
"Uzbekistan, Total water withdrawal",Uzbekistan,Central Asia,860,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,58.9
"Vanuatu, GDP per capita",Vanuatu,Melanesia,548,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"3,150.93"
"Vanuatu, Total population",Vanuatu,Melanesia,548,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,299.88
"Vanuatu, Total renewable water resources",Vanuatu,Melanesia,548,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,10
"Venezuela (Bolivarian Republic of), GDP per capita",Venezuela (Bolivarian Republic of),South America,862,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"6,433.93"
"Venezuela (Bolivarian Republic of), Total dam capacity",Venezuela (Bolivarian Republic of),South America,862,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,157.63
"Venezuela (Bolivarian Republic of), Total population",Venezuela (Bolivarian Republic of),South America,862,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"28,515.83"
"Venezuela (Bolivarian Republic of), Total renewable water resources",Venezuela (Bolivarian Republic of),South America,862,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"1,325.00"
"Venezuela (Bolivarian Republic of), Total water withdrawal",Venezuela (Bolivarian Republic of),South America,862,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,22.63
"Viet Nam, GDP per capita",Viet Nam,South-eastern Asia,704,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"2,538.07"
"Viet Nam, Total dam capacity",Viet Nam,South-eastern Asia,704,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,44.72
"Viet Nam, Total population",Viet Nam,South-eastern Asia,704,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"96,462.11"
"Viet Nam, Total renewable water resources",Viet Nam,South-eastern Asia,704,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,884.12
"Viet Nam, Total water withdrawal",Viet Nam,South-eastern Asia,704,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,82.03
"Yemen, GDP per capita",Yemen,Western Asia,887,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,922.4
"Yemen, Total dam capacity",Yemen,Western Asia,887,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.46
"Yemen, Total population",Yemen,Western Asia,887,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"29,161.92"
"Yemen, Total renewable water resources",Yemen,Western Asia,887,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2.1
